TEXT_ID,SENTENCE_ID,ANNOTATION_ID,TOKENS,LEFT_CONTEXT,RIGHT_CONTEXT,DOC_TOKEN_START,DOC_TOKEN_END,TYPE,CORRECTION,COMMENT,MODEL,PROMPT_KEY,TIME_SECONDS
S024,1.0,23,10,rebounds,,197.0,197.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,24,8,rebounds,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,25,assists,rebounds,,201.0,201.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,26,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,27,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,28,8,straight,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,29,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,30,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,31,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,32,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,33,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,34,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,35,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,36,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,37,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,38,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,39,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,40,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,41,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,42,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,43,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,44,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,45,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,46,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,47,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,48,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,49,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,50,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,51,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,52,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,53,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,54,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,55,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,56,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,57,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,58,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,59,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,60,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,61,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,62,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,63,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,64,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,65,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,66,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,67,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,68,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,69,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,70,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,71,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,72,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,73,58 - 14,and,,23.0,25.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,74,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,75,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,76,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,77,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,78,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,79,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,80,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,81,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,82,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,83,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,84,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,85,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,86,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,87,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,88,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,89,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,90,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,91,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,92,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,93,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,94,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,95,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,96,58,and,,23.0,23.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,97,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,98,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,99,58,and,,23.0,23.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,100,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,101,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,102,58,and,,23.0,23.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,103,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,104,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,105,58,and,,23.0,23.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,106,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,107,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,108,58,and,,23.0,23.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,109,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,110,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,111,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,112,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,113,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,114,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,115,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,116,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,117,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,118,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,119,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,120,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,121,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,122,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,123,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,124,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,125,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,126,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,127,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,128,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,129,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,130,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,131,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,132,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,133,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,134,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,135,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,136,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,137,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,138,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,139,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,140,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,141,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,142,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,143,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,144,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,145,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,146,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,147,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,148,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,149,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,150,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,151,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,152,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,153,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,154,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,155,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,156,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,157,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,158,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,159,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,160,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,161,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,162,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,163,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,164,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,165,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,166,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,167,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,168,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,169,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,170,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,171,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,172,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,173,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,174,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,175,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,176,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,177,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,178,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,179,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,180,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,181,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,182,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,183,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,184,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,185,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,186,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,187,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,188,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,189,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,190,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,191,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,192,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,193,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,194,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,195,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,196,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,197,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,198,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,199,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,200,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,201,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,202,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,203,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,204,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,205,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,206,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,207,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,208,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,209,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,210,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,211,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,212,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,213,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,214,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,215,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,216,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,217,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,218,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,219,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,220,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,221,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,222,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,223,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,224,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,225,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,226,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,227,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,228,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,229,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,230,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,231,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,232,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,233,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,234,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,235,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,236,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,237,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,238,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,239,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,240,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,241,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,242,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,243,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,244,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,245,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,246,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,247,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,248,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,249,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,250,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,251,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,252,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,253,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,254,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,255,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,256,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,257,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,258,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,259,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,260,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,261,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,262,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,263,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,264,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,265,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,266,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,267,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,268,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,269,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,270,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,271,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,272,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,273,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,274,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,275,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,276,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,277,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,278,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,279,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,280,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,281,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,282,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,283,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,284,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,285,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,286,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,287,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,288,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,289,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,290,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,291,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,292,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,293,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,294,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,295,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,296,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,297,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,298,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,299,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,300,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,301,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,302,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,303,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,304,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,305,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,306,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,307,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,308,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,309,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,310,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,311,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,312,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,313,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,314,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,315,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,316,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,317,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,318,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,319,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,320,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,321,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,322,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,323,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,324,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,325,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,326,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,327,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,328,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,329,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,330,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,331,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,332,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,333,60,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,334,8,and,,,,,,,qwen_small,p4_strat_1,4828.76
S024,1.0,335,assists,8,,283.0,283.0,,,,qwen_small,p4_strat_1,4828.76
